span_stat,span_end,unit_change,unit_slope,per_change,per_slope,station,scenario,season,poi,type
2015,2021,3.7,0.62,3.5,0.58,Tiffin,post,winter,tp,flux
2009,2015,9.4,1.6,5.4,0.89,Blanchard,pre,winter,tp,flux
2009,2021,32,2.6,18,1.5,Blanchard,all,winter,tp,flux
2015,2021,22,3.7,12,2,Blanchard,post,winter,tp,flux
2009,2015,56,9.4,7.8,1.3,Sandusky,pre,winter,tp,flux
2009,2021,205,17,29,2.4,Sandusky,all,winter,tp,flux
2015,2021,149,25,19,3.2,Sandusky,post,winter,tp,flux
2009,2015,9.6,1.6,10,1.7,Honey,pre,winter,tp,flux
2009,2021,9.9,0.83,11,0.89,Honey,all,winter,tp,flux
2015,2021,0.26,0.043,0.25,0.042,Honey,post,winter,tp,flux
2009,2015,44,7.4,31,5.2,Raisin,pre,winter,tp,flux
2009,2021,50,4.2,36,3,Raisin,all,winter,tp,flux
2015,2021,6.2,1,3.3,0.56,Raisin,post,winter,tp,flux
2009,2015,0.0022,0.00037,0.85,0.14,Maumee,pre,winter,tp,conc
2009,2021,0.0066,0.00055,2.5,0.21,Maumee,all,winter,tp,conc
2015,2021,0.0044,0.00073,1.7,0.28,Maumee,post,winter,tp,conc
2009,2015,0.011,0.0018,8.9,1.5,Tiffin,pre,winter,tp,conc
2009,2021,0.0024,2.00E-04,2,0.17,Tiffin,all,winter,tp,conc
2015,2021,-0.0084,-0.0014,-6.4,-1.1,Tiffin,post,winter,tp,conc
2009,2015,0.072,0.012,34,5.6,Blanchard,pre,winter,tp,conc
2009,2021,0.13,0.011,63,5.3,Blanchard,all,winter,tp,conc
2015,2021,0.063,0.01,22,3.7,Blanchard,post,winter,tp,conc
2009,2015,0.0051,0.00085,2.6,0.44,Sandusky,pre,winter,tp,conc
2009,2021,0.045,0.0037,23,1.9,Sandusky,all,winter,tp,conc
2015,2021,0.04,0.0066,20,3.3,Sandusky,post,winter,tp,conc
2009,2015,0.015,0.0024,7.9,1.3,Honey,pre,winter,tp,conc
2009,2021,0.015,0.0012,7.8,0.65,Honey,all,winter,tp,conc
2015,2021,-7.50E-05,-1.30E-05,-0.037,-0.0062,Honey,post,winter,tp,conc
2009,2015,0.024,0.0039,29,4.8,Raisin,pre,winter,tp,conc
2009,2021,0.016,0.0013,19,1.6,Raisin,all,winter,tp,conc
2015,2021,-0.0078,-0.0013,-7.4,-1.2,Raisin,post,winter,tp,conc
